alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.10001,0.55001,3.665435885,-0.69895048,-0.69895048
0.10001,0.60001,3.617648814,-0.699255896,-0.699255896
0.10001,0.65001,3.5750231,-0.699506625,-0.699506625
0.10001,0.70001,3.536692801,-0.699715625,-0.699715625
0.10001,0.75001,3.501985092,-0.699892128,-0.699892128
0.10001,0.80001,3.470367744,-0.700042882,-0.700042882
0.10001,0.85001,3.441413168,-0.700172922,-0.700172922
0.10001,0.90001,3.414773158,-0.700286074,-0.700286074
0.10001,0.95001,3.390160743,-0.700385294,-0.700385294
0.10001,1.00001,3.367336892,-0.700472902,-0.700472902
0.10001,1.05001,3.346100614,-0.700550738,-0.700550738
0.10001,1.10001,3.326281445,-0.700620279,-0.700620279
0.10001,1.15001,3.307733698,-0.700682728,-0.700682728
0.10001,1.20001,3.29033198,-0.700739069,-0.700739069
0.10001,1.25001,3.273967672,-0.700790114,-0.700790114
0.10001,1.30001,3.25854613,-0.700836543,-0.700836543
0.10001,1.35001,3.243984438,-0.700878925,-0.700878925
0.10001,1.40001,3.230209596,-0.700917741,-0.700917741
0.10001,1.45001,3.21715703,-0.700953401,-0.700953401
0.10001,1.50001,3.20476938,-0.700986256,-0.700986256
0.10001,1.55001,3.192995485,-0.701016606,-0.701016606
0.10001,1.60001,3.181789543,-0.701044713,-0.701044713
0.10001,1.65001,3.17111041,-0.701070803,-0.701070803
0.10001,1.70001,3.160921001,-0.701095074,-0.701095074
0.10001,1.75001,3.151187788,-0.701117698,-0.701117698
0.10001,1.80001,3.141880371,-0.701138828,-0.701138828
0.10001,1.85001,3.132971111,-0.701158598,-0.701158598
0.10001,1.90001,3.124434813,-0.701177128,-0.701177128
0.10001,1.95001,3.116248457,-0.701194524,-0.701194524
0.10001,2.00001,3.108390957,-0.70121088,-0.70121088
0.10001,2.05001,3.10084296,-0.70122628,-0.70122628
0.10001,2.10001,3.093586663,-0.7012408,-0.7012408
0.10001,2.15001,3.086605661,-0.701254508,-0.701254508
0.10001,2.20001,3.079884803,-0.701267466,-0.701267466
0.10001,2.25001,3.073410076,-0.70127973,-0.70127973
0.10001,2.30001,3.067168494,-0.701291349,-0.701291349
0.10001,2.35001,3.061148002,-0.701302369,-0.701302369
0.10001,2.40001,3.055337397,-0.701312831,-0.701312831
0.10001,2.45001,3.049726247,-0.701322775,-0.701322775
0.10001,2.50001,3.044304824,-0.701332233,-0.701332233
0.10001,2.55001,3.039064048,-0.701341238,-0.701341238
0.10001,2.60001,3.033995427,-0.701349819,-0.701349819
0.10001,2.65001,3.029091015,-0.701358002,-0.701358002
0.10001,2.70001,3.024343363,-0.701365813,-0.701365813
0.10001,2.75001,3.01974548,-0.701373272,-0.701373272
0.10001,2.80001,3.015290799,-0.701380402,-0.701380402
0.10001,2.85001,3.010973145,-0.701387222,-0.701387222
0.10001,2.90001,3.006786704,-0.701393749,-0.701393749
0.10001,2.95001,3.002725996,-0.7014,-0.7014
0.10001,3.00001,2.998785852,-0.70140599,-0.70140599
0.10001,3.05001,2.994961391,-0.701411734,-0.701411734
0.10001,3.10001,2.991248,-0.701417244,-0.701417244
0.10001,3.15001,2.987641315,-0.701422533,-0.701422533
0.10001,3.20001,2.984137204,-0.701427613,-0.701427613
0.10001,3.25001,2.980731752,-0.701432494,-0.701432494
0.10001,3.30001,2.977421245,-0.701437187,-0.701437187
0.10001,3.35001,2.974202161,-0.7014417,-0.7014417
0.10001,3.40001,2.971071152,-0.701446042,-0.701446042
0.10001,3.45001,2.968025035,-0.701450222,-0.701450222
0.10001,3.50001,2.965060786,-0.701454247,-0.701454247
0.10001,3.55001,2.962175523,-0.701458125,-0.701458125
0.10001,3.60001,2.959366503,-0.701461863,-0.701461863
0.10001,3.65001,2.95663111,-0.701465466,-0.701465466
0.10001,3.70001,2.95396685,-0.701468942,-0.701468942
0.10001,3.75001,2.951371343,-0.701472295,-0.701472295
0.10001,3.80001,2.948842315,-0.70147553,-0.70147553
0.10001,3.85001,2.946377595,-0.701478654,-0.701478654
0.10001,3.90001,2.943975107,-0.701481671,-0.701481671
0.10001,3.95001,2.941632863,-0.701484585,-0.701484585
0.10001,4.00001,2.939348963,-0.701487401,-0.701487401
0.10001,4.05001,2.937121588,-0.701490122,-0.701490122
0.10001,4.10001,2.934948991,-0.701492753,-0.701492753
0.10001,4.15001,2.932829503,-0.701495297,-0.701495297
0.10001,4.20001,2.930761519,-0.701497757,-0.701497757
0.10001,4.25001,2.928743501,-0.701500137,-0.701500137
