alpha_1,alpha_2,imaginary,real
1080.036,34560.036,1.533656146,-0.697247094
1080.036,34200.036,1.533948414,-0.697244124
720.036,22680.036,1.534096428,-0.697243261
1080.036,33840.036,1.534246838,-0.697241089
360.036,11160.036,1.534549868,-0.697240658
720.036,22320.036,1.534551179,-0.697238656
1080.036,33480.036,1.534551616,-0.697237989
1080.036,33120.036,1.534862952,-0.69723482
720.036,21960.036,1.535020687,-0.697233899
1080.036,32760.036,1.535181061,-0.697231581
360.036,10800.036,1.535504236,-0.697231121
720.036,21600.036,1.535505684,-0.697228982
1080.036,32400.036,1.535506167,-0.697228269
1080.036,32040.036,1.535838501,-0.697224882
720.036,21240.036,1.536006948,-0.697223897
1080.036,31680.036,1.53617831,-0.697221418
360.036,10440.036,1.536523711,-0.697220924
720.036,20880.036,1.536525312,-0.697218635
1080.036,31320.036,1.536525846,-0.697217872
1080.036,30960.036,1.536881378,-0.697214244
720.036,20520.036,1.537061667,-0.697213187
1080.036,30600.036,1.537245183,-0.697210529
360.036,10080.036,1.537615192,-0.697209999
720.036,20160.036,1.537616965,-0.697207543
1080.036,30240.036,1.537617556,-0.697206724
1080.036,29880.036,1.537998801,-0.697202827
720.036,19800.036,1.538192228,-0.697201691
1080.036,29520.036,1.538389239,-0.697198834
360.036,9720.036,1.538786587,-0.697198263
720.036,19440.036,1.538788553,-0.697195621
1080.036,29160.036,1.538789208,-0.69719474
1080.036,28800.036,1.539199061,-0.697190544
720.036,19080.036,1.539407118,-0.69718932
1080.036,28440.036,1.539619168,-0.697186239
360.036,9360.036,1.540047008,-0.697185623
720.036,18720.036,1.540049191,-0.697182773
1080.036,28080.036,1.540049919,-0.697181824
1080.036,27720.036,1.540491725,-0.697177291
720.036,18360.036,1.540716139,-0.697175968
1080.036,27360.036,1.540945015,-0.697172639
360.036,9000.036,1.541407005,-0.69717197
720.036,18000.036,1.541409435,-0.697168888
1080.036,27000.036,1.541410245,-0.69716786
1440.036,35640.036,1.541767705,-0.697163666
1080.036,26640.036,1.541887892,-0.697162951
720.036,17640.036,1.542130673,-0.697161515
1440.036,35280.036,1.542131956,-0.69715991
1080.036,26280.036,1.54237846,-0.697157905
1440.036,34920.036,1.542503622,-0.697156075
0.036,0.036,1.542565166,-0.714863449
360.036,8640.036,1.542878866,-0.697157178
720.036,17280.036,1.542881577,-0.697153833
1080.036,25920.036,1.54288248,-0.697152717
1440.036,34560.036,1.542882932,-0.69715216
1440.036,34200.036,1.543270125,-0.69714816
1080.036,25560.036,1.543400514,-0.697147382
720.036,16920.036,1.543664015,-0.69714582
1440.036,33840.036,1.543665448,-0.697144075
1080.036,25200.036,1.543933155,-0.697141891
1440.036,33480.036,1.544069161,-0.6971399
360.036,8280.036,1.544476987,-0.697141098
