alpha_1,alpha_2,Imag,Real
1080.036,33480.036,8.189755581,-0.590368551
1080.036,33840.036,8.19087669,-0.590548144
1080.036,34200.036,8.191974768,-0.590724078
1080.036,34560.036,8.193050517,-0.590896463
1080.036,34920.036,8.194104612,-0.591065407
1080.036,35280.036,8.195137699,-0.59123101
1080.036,35640.036,8.196150402,-0.591393372
1440.036,0.036,0.070248488,-0.21396707
1440.036,360.036,4.832300961,-0.184204784
1440.036,720.036,5.557868381,-0.248090377
1440.036,1080.036,6.02401419,-0.297077726
1440.036,1440.036,6.352084084,-0.334652371
1440.036,1800.036,6.596328909,-0.364222312
1440.036,2160.036,6.785549806,-0.388056781
1440.036,2520.036,6.936600026,-0.407662198
1440.036,2880.036,7.060042437,-0.424066261
1440.036,3240.036,7.162850631,-0.437991
1440.036,3600.036,7.24982134,-0.44995751
1440.036,3960.036,7.324365761,-0.460350896
1440.036,4320.036,7.388977851,-0.46946174
1440.036,4680.036,7.445524122,-0.477513344
1440.036,5040.036,7.495429803,-0.484680087
1440.036,5400.036,7.539802272,-0.491100113
1440.036,5760.036,7.579515169,-0.496884259
1440.036,6120.036,7.615267083,-0.502122479
1440.036,6480.036,7.647623381,-0.506888537
1440.036,6840.036,7.677046563,-0.511243487
1440.036,7200.036,7.703918677,-0.515238299
1440.036,7560.036,7.728558097,-0.518915855
1440.036,7920.036,7.751232282,-0.522312492
1440.036,8280.036,7.772167565,-0.525459204
1440.036,8640.036,7.791556778,-0.528382589
1440.036,9000.036,7.809565232,-0.531105599
1440.036,9360.036,7.826335463,-0.53364815
1440.036,9720.036,7.841991027,-0.536027601
1440.036,10080.036,7.856639558,-0.538259154
1440.036,10440.036,7.870375256,-0.540356181
1440.036,10800.036,7.883280919,-0.542330489
1440.036,11160.036,7.89542962,-0.544192541
1440.036,11520.036,7.906886096,-0.545951646
1440.036,11880.036,7.9177079,-0.547616111
1440.036,12240.036,7.927946377,-0.549193371
1440.036,12600.036,7.937647474,-0.550690104
1440.036,12960.036,7.946852435,-0.552112324
1440.036,13320.036,7.955598387,-0.553465458
1440.036,13680.036,7.96391884,-0.55475442
1440.036,14040.036,7.971844121,-0.55598367
1440.036,14400.036,7.979401738,-0.557157263
1440.036,14760.036,7.986616705,-0.558278893
1440.036,15120.036,7.993511815,-0.559351938
1440.036,15480.036,8.000107884,-0.560379488
1440.036,15840.036,8.006423958,-0.561364374
1440.036,16200.036,8.0124775,-0.5623092
1440.036,16560.036,8.018284549,-0.563216362
1440.036,16920.036,8.023859865,-0.564088067
1440.036,17280.036,8.029217051,-0.564926354
1440.036,17640.036,8.034368664,-0.565733109
1440.036,18000.036,8.039326319,-0.566510077
1440.036,18360.036,8.044100769,-0.567258879
1440.036,18720.036,8.048701986,-0.567981018
1440.036,19080.036,8.053139234,-0.568677894
1440.036,19440.036,8.057421125,-0.569350809
1440.036,19800.036,8.061555679,-0.570000979
1440.036,20160.036,8.065550374,-0.570629538
1440.036,20520.036,8.069412189,-0.571237544
1440.036,20880.036,8.073147648,-0.571825991
1440.036,21240.036,8.076762852,-0.572395806
1440.036,21600.036,8.080263519,-0.572947862
1440.036,21960.036,8.083655007,-0.573482974
1440.036,22320.036,8.086942345,-0.574001913
1440.036,22680.036,8.090130261,-0.574505399
1440.036,23040.036,8.093223197,-0.574994114
1440.036,23400.036,8.096225336,-0.575468697
1440.036,23760.036,8.09914062,-0.575929753
1440.036,24120.036,8.101972765,-0.576377852
1440.036,24480.036,8.104725276,-0.576813532
1440.036,24840.036,8.107401468,-0.577237303
1440.036,25200.036,8.11000447,-0.577649647
1440.036,25560.036,8.112537246,-0.57805102
1440.036,25920.036,8.1150026,-0.578441853
1440.036,26280.036,8.117403188,-0.578822557
1440.036,26640.036,8.11974153,-0.579193519
1440.036,27000.036,8.122020017,-0.579555111
1440.036,27360.036,8.124240918,-0.579907681
1440.036,27720.036,8.126406388,-0.580251563
1440.036,28080.036,8.128518478,-0.580587075
1440.036,28440.036,8.130579138,-0.580914519
1440.036,28800.036,8.132590224,-0.581234182
1440.036,29160.036,8.134553503,-0.581546338
1440.036,29520.036,8.13647066,-0.581851248
1440.036,29880.036,8.138343303,-0.582149163
1440.036,30240.036,8.140172963,-0.582440319
1440.036,30600.036,8.141961104,-0.582724945
1440.036,30960.036,8.143709123,-0.583003257
1440.036,31320.036,8.145418355,-0.583275464
1440.036,31680.036,8.147090079,-0.583541764
1440.036,32040.036,8.148725515,-0.583802347
1440.036,32400.036,8.150325831,-0.584057396
1440.036,32760.036,8.151892148,-0.584307084
1440.036,33120.036,8.153425537,-0.58455158
1440.036,33480.036,8.154927027,-0.584791043
1440.036,33840.036,8.156397602,-0.585025627
1440.036,34200.036,8.157838207,-0.58525548
1440.036,34560.036,8.159249749,-0.585480744
1440.036,34920.036,8.1606331,-0.585701554
1440.036,35280.036,8.161989095,-0.585918042
1440.036,35640.036,8.163318538,-0.586130333
1800.036,0.036,0.07917586,-0.185229621
1800.036,360.036,4.631246488,-0.164160753
1800.036,720.036,5.310407511,-0.220859131
1800.036,1080.036,5.766453689,-0.266925203
1800.036,1440.036,6.098571961,-0.303589189
1800.036,1800.036,6.352243785,-0.333256499
1800.036,2160.036,6.552718111,-0.35770207
1800.036,2520.036,6.71532437,-0.378174401
1800.036,2880.036,6.849961558,-0.395561589
1800.036,3240.036,6.963327729,-0.410508473
1800.036,3600.036,7.06012613,-0.423493199
1800.036,3960.036,7.143760764,-0.434877277
1800.036,4320.036,7.216758342,-0.444938865
1800.036,4680.036,7.281035056,-0.453895376
1800.036,5040.036,7.338071192,-0.46191914
1800.036,5400.036,7.389028842,-0.469148489
1800.036,5760.036,7.434833308,-0.475695724
1800.036,6120.036,7.476230652,-0.481652957
1800.036,6480.036,7.513829203,-0.487096446
1800.036,6840.036,7.548130012,-0.492089859
1800.036,7200.036,7.579549547,-0.49668677
1800.036,7560.036,7.608436855,-0.50093258
1800.036,7920.036,7.635086696,-0.504866015
1800.036,8280.036,7.659749723,-0.508520313
1800.036,8640.036,7.68264044,-0.511924159
1800.036,9000.036,7.703943507,-0.51510244
1800.036,9360.036,7.72381876,-0.51807685
1800.036,9720.036,7.742405249,-0.520866392
1800.036,10080.036,7.759824521,-0.523487777
1800.036,10440.036,7.776183286,-0.525955761
1800.036,10800.036,7.79157562,-0.528283425
1800.036,11160.036,7.80608478,-0.530482402
1800.036,11520.036,7.819784721,-0.532563076
1800.036,11880.036,7.832741356,-0.534534741
1800.036,12240.036,7.845013626,-0.536405745
1800.036,12600.036,7.856654394,-0.538183602
1800.036,12960.036,7.867711214,-0.539875099
