alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
7.50001,1.00001,6.992227959,0.897734481,0.165824309,3.080334764,1.019886764,0.871787049,0.753809183
6.00001,0.80001,6.995543742,0.897511436,0.167186852,3.084973107,1.018353336,0.870312258,0.753474993
4.50001,0.60001,7.001066545,0.897140561,0.169467837,3.092687481,1.015813163,0.867869658,0.752919863
3.00001,0.40001,7.01209907,0.896402045,0.174067276,3.108056047,1.010790219,0.863041271,0.751816464
9.70001,1.30001,7.004999493,0.89542387,0.180277414,3.118728471,1.007331251,0.859381861,0.752692558
8.20001,1.10001,7.009750455,0.894841527,0.184038766,3.129040186,1.004011603,0.856132305,0.752253757
6.70001,0.90001,7.016620883,0.89400074,0.189554419,3.143905628,0.999264299,0.851486239,0.751624569
1.50001,0.20001,7.045092874,0.894212034,0.188158829,3.153691089,0.996163722,0.848993797,0.748559586
5.20001,0.70001,7.027436265,0.892680394,0.198419906,3.167197103,0.991915739,0.844296749,0.750646718
8.90001,1.20001,7.024463126,0.89242243,0.200181243,3.169443727,0.99121263,0.843517789,0.751000889
7.40001,1.00001,7.033637052,0.891180152,0.208797875,3.190806457,0.984576375,0.837009823,0.750203397
9.60001,1.30001,7.036991738,0.890369562,0.21454092,3.203509182,0.98067228,0.833134073,0.749970394
3.70001,0.50001,7.046962778,0.890306495,0.214991767,3.208917474,0.97901946,0.831686746,0.748919107
5.90001,0.80001,7.047442923,0.88931631,0.222146421,3.222743339,0.974819377,0.827445425,0.74902678
8.10001,1.10001,7.047662886,0.888864372,0.225459672,3.229030621,0.972921295,0.825528527,0.749078087
8.80001,1.20001,7.05942304,0.886928996,0.239988799,3.260788353,0.963445742,0.816198299,0.748165225
6.60001,0.90001,7.063141867,0.886688439,0.241833437,3.265766532,0.961977111,0.814794735,0.747814685
4.40001,0.60001,7.070573635,0.886208733,0.24553761,3.275699021,0.959060229,0.812007724,0.747116225
9.50001,1.30001,7.069425512,0.885287398,0.252748167,3.287596199,0.955589575,0.808465461,0.747410003
7.30001,1.00001,7.075789227,0.884578925,0.258379204,3.300081083,0.951974383,0.804945896,0.746874058
2.20001,0.30001,7.092822145,0.884780778,0.256767181,3.305308197,0.950468902,0.803803925,0.745041436
5.10001,0.70001,7.087622931,0.883264838,0.269023468,3.323205129,0.945350206,0.798499201,0.745887897
8.00001,1.10001,7.086195991,0.882848153,0.272453063,3.328092424,0.943961962,0.797059803,0.746123119
8.70001,1.20001,7.09490915,0.881402521,0.284555623,3.351393543,0.93739891,0.790602315,0.745509879
5.80001,0.80001,7.100512304,0.881047567,0.287575826,3.358738857,0.935348888,0.788649756,0.744997923
9.40001,1.30001,7.102311038,0.880176924,0.295065311,3.371081712,0.931924208,0.785217142,0.744999728
2.90001,0.40001,7.117295248,0.879988928,0.296697712,3.380673934,0.929279994,0.782872075,0.743472913
6.50001,0.90001,7.11059875,0.87931744,0.30257261,3.386323937,0.927729512,0.78114895,0.744323749
7.20001,1.00001,7.118706919,0.877929802,0.31493283,3.408361213,0.921731136,0.775245713,0.743795534
3.60001,0.50001,7.1321801,0.87708889,0.322567774,3.425786485,0.917042748,0.770790567,0.742589298
7.90001,1.10001,7.125366851,0.876792112,0.325288463,3.426372454,0.916885918,0.770478524,0.743370595
8.60001,1.20001,7.130934756,0.875842416,0.334086629,3.441369186,0.912890331,0.76654809,0.743021392
9.30001,1.30001,7.135658875,0.875037671,0.341651794,3.454050108,0.909538818,0.7632518,0.742729364
4.30001,0.60001,7.14218859,0.875145016,0.34063684,3.455824544,0.909071804,0.762924082,0.742023474
5.00001,0.70001,7.149379753,0.873751344,0.35395424,3.477264493,0.903466693,0.757393899,0.741630498
5.70001,0.80001,7.154796415,0.872703236,0.364170135,3.493336674,0.899310014,0.753293588,0.741341808
6.40001,0.90001,7.159023259,0.871886342,0.37225222,3.505833022,0.896104473,0.750131992,0.74112082
7.10001,1.00001,7.162413523,0.871231753,0.378804481,3.51582761,0.89355708,0.74761982,0.740946251
7.80001,1.10001,7.165193207,0.870695469,0.384223024,3.524003448,0.89148399,0.745575589,0.740804881
8.50001,1.20001,7.167513631,0.870248075,0.388778276,3.530815631,0.889764004,0.743879683,0.740688074
9.20001,1.30001,7.16947993,0.869869162,0.392661095,3.536579096,0.88831398,0.742450056,0.740589944
9.90001,1.40001,7.171167423,0.869544125,0.396009999,3.541518724,0.887074981,0.741228554,0.740506347
9.80001,1.40001,7.203035752,0.86471552,0.447745982,3.617810807,0.86836842,0.722917854,0.738636871
9.10001,1.30001,7.203785472,0.864670904,0.448241452,3.618740643,0.868145292,0.722707555,0.73857356
8.40001,1.20001,7.204660046,0.864618875,0.448819662,3.619825133,0.867885198,0.722462423,0.738499729
7.70001,1.10001,7.205693497,0.864557416,0.449503223,3.621106359,0.867578122,0.722173023,0.738412521
7.00001,1.00001,7.206933441,0.864483709,0.450323815,3.622643197,0.867210068,0.721826172,0.738307936
6.30001,0.90001,7.208448639,0.864393687,0.45132723,3.624520617,0.866760873,0.72140288,0.738180207
5.60001,0.80001,7.210342188,0.864281259,0.452582224,3.626865946,0.866200378,0.720874743,0.738020694
4.90001,0.70001,7.21277602,0.864136872,0.454196963,3.62987901,0.865481369,0.720197305,0.737815849
4.20001,0.60001,7.21601985,0.863944639,0.456351995,3.633892315,0.864525523,0.719296831,0.737543145
3.50001,0.50001,7.220558763,0.863676056,0.459372937,3.639503069,0.863192747,0.71804147,0.737162168
2.80001,0.40001,7.227361785,0.863274367,0.463912779,3.64790207,0.861205316,0.716169924,0.736592459
2.10001,0.30001,7.238685951,0.862608025,0.471501247,3.66185509,0.857923805,0.713080935,0.735647584
1.40001,0.20001,7.261281384,0.86128699,0.486758231,3.689593628,0.851473894,0.707013754,0.733774923
9.70001,1.40001,7.235331829,0.859860823,0.50354774,3.693843216,0.850494314,0.705442319,0.736867541
9.00001,1.30001,7.238587145,0.859442391,0.508536588,3.700601766,0.848941024,0.703932616,0.73667322
8.30001,1.20001,7.242388787,0.858954172,0.514393593,3.708483052,0.847136851,0.702179308,0.736447438
7.60001,1.10001,7.246886892,0.85837712,0.521366516,3.717792254,0.845015654,0.700118245,0.736181883
6.90001,1.00001,7.252292144,0.857684563,0.529807092,3.728956202,0.842485801,0.697660579,0.735865031
6.20001,0.90001,7.258909752,0.856837961,0.540231826,3.742590737,0.839416563,0.694679611,0.735480431
5.50001,0.80001,7.267199125,0.855779485,0.553430963,3.759618398,0.835614768,0.690988216,0.735003755
