alpha_1,alpha_2,imaginary,real
19440.036,1080.036,2.882902567,-0.705619585
12960.036,720.036,2.883391939,-0.707548446
6480.036,360.036,2.884853333,-0.713334189
32040.036,1800.036,2.898688597,-0.70409451
25560.036,1440.036,2.902920697,-0.704685065
19080.036,1080.036,2.910010334,-0.705675909
31680.036,1800.036,2.915121561,-0.70411293
25200.036,1440.036,2.923584465,-0.70471569
12600.036,720.036,2.924326927,-0.707682661
31320.036,1800.036,2.931816012,-0.704131659
18720.036,1080.036,2.937838198,-0.705733972
24840.036,1440.036,2.944662353,-0.704746996
30960.036,1800.036,2.948779072,-0.704150706
30600.036,1800.036,2.966018136,-0.704170078
24480.036,1440.036,2.966168602,-0.704779006
18360.036,1080.036,2.966419143,-0.705793854
12240.036,720.036,2.966919336,-0.707823431
6120.036,360.036,2.968412825,-0.713911229
30240.036,1800.036,2.983540888,-0.704189783
24120.036,1440.036,2.988118152,-0.704811741
18000.036,1080.036,2.995788307,-0.705855638
29880.036,1800.036,3.001355315,-0.704209827
35640.036,2160.036,3.010272968,-0.70380314
23760.036,1440.036,3.01052668,-0.704845226
11880.036,720.036,3.011285989,-0.707971236
29520.036,1800.036,3.019469723,-0.70423022
35280.036,2160.036,3.02547409,-0.7038165
17640.036,1080.036,3.025983171,-0.705919414
23400.036,1440.036,3.033410653,-0.704879485
29160.036,1800.036,3.037892753,-0.704250969
34920.036,2160.036,3.040891577,-0.703830041
34560.036,2160.036,3.056530684,-0.703843767
28800.036,1800.036,3.056633399,-0.704272083
23040.036,1440.036,3.056787379,-0.704914543
17280.036,1080.036,3.057043761,-0.705985275
11520.036,720.036,3.057555587,-0.708126607
5760.036,360.036,3.059083569,-0.714549562
34200.036,2160.036,3.072396849,-0.70385768
28440.036,1800.036,3.075701027,-0.70429357
22680.036,1440.036,3.080675059,-0.704950426
33840.036,2160.036,3.088495699,-0.703871784
16920.036,1080.036,3.089012875,-0.706053321
28080.036,1800.036,3.095105393,-0.704315439
33480.036,2160.036,3.104833058,-0.703886081
22320.036,1440.036,3.105092851,-0.704987162
11160.036,720.036,3.105870298,-0.708290125
27720.036,1800.036,3.114856667,-0.704337699
33120.036,2160.036,3.121414956,-0.703900576
16560.036,1080.036,3.121936335,-0.706123658
21960.036,1440.036,3.130060936,-0.705024779
27360.036,1800.036,3.134965454,-0.704360359
32760.036,2160.036,3.138247638,-0.70391527
32400.036,2160.036,3.155337575,-0.703930167
27000.036,1800.036,3.15544282,-0.704383429
21600.036,1440.036,3.155600587,-0.705063307
16200.036,1080.036,3.155863268,-0.706196398
10800.036,720.036,3.156387636,-0.70846243
5400.036,360.036,3.157952807,-0.715259359
32040.036,2160.036,3.172691477,-0.70394527
26640.036,1800.036,3.176300315,-0.704406917
21240.036,1440.036,3.181734247,-0.705102776
31680.036,2160.036,3.190316297,-0.703960582
15840.036,1080.036,3.190846418,-0.706271659
26280.036,1800.036,3.197550003,-0.704430835
31320.036,2160.036,3.208219252,-0.703976107
20880.036,1440.036,3.208485612,-0.705143217
10440.036,720.036,3.209282648,-0.708644231
25920.036,1800.036,3.219204491,-0.704455191
30960.036,2160.036,3.226407827,-0.703991847
15480.036,1080.036,3.226942496,-0.706349568
20520.036,1440.036,3.235879726,-0.705184664
25560.036,1800.036,3.241276963,-0.704479995
30600.036,2160.036,3.244889796,-0.704007806
35640.036,2520.036,3.24747762,-0.703669339
35280.036,2520.036,3.263596066,-0.703680214
30240.036,2160.036,3.263673229,-0.704023986
25200.036,1800.036,3.26378121,-0.704505258
20160.036,1440.036,3.263943075,-0.70522715
15120.036,1080.036,3.26421257,-0.706430258
10080.036,720.036,3.264750507,-0.708836307
5040.036,360.036,3.26635591,-0.716053127
34920.036,2520.036,3.279942148,-0.703691201
29880.036,2160.036,3.282766514,-0.70404039
24840.036,1800.036,3.286731669,-0.70453099
19800.036,1440.036,3.292703704,-0.705270711
34560.036,2520.036,3.296521341,-0.703702299
29520.036,2160.036,3.302178365,-0.704057022
14760.036,1080.036,3.302722508,-0.706513873
24480.036,1800.036,3.310143462,-0.704557202
34200.036,2520.036,3.313339304,-0.70371351
29160.036,2160.036,3.321917848,-0.704073883
19440.036,1440.036,3.322191326,-0.705315383
9720.036,720.036,3.32300959,-0.709039524
33840.036,2520.036,3.33040189,-0.703724834
24120.036,1800.036,3.33403244,-0.704583903
28800.036,2160.036,3.341994391,-0.704090978
14400.036,1080.036,3.342543471,-0.706600562
33480.036,2520.036,3.347715157,-0.70373627
19080.036,1440.036,3.352437463,-0.705361204
23760.036,1800.036,3.358415227,-0.704611105
28440.036,2160.036,3.362417808,-0.704108307
33120.036,2520.036,3.365285373,-0.703747819
32760.036,2520.036,3.383119029,-0.70375948
28080.036,2160.036,3.383198316,-0.704125874
23400.036,1800.036,3.383309267,-0.704638817
18720.036,1440.036,3.383475581,-0.705408212
14040.036,1080.036,3.383752474,-0.706690486
9360.036,720.036,3.384305142,-0.709254842
4680.036,360.036,3.385954231,-0.716946399
32400.036,2520.036,3.401222847,-0.703771253
27720.036,2160.036,3.40434656,-0.704143681
23040.036,1800.036,3.408732881,-0.704667051
18360.036,1440.036,3.415341252,-0.705456448
32040.036,2520.036,3.419603793,-0.703783138
27360.036,2160.036,3.425873635,-0.704161729
13680.036,1080.036,3.426433018,-0.706783815
22680.036,1800.036,3.434705323,-0.704695816
31680.036,2520.036,3.438269085,-0.703795133
27000.036,2160.036,3.447791108,-0.704180021
18000.036,1440.036,3.448072327,-0.705505951
9000.036,720.036,3.448913681,-0.709483327
31320.036,2520.036,3.457226209,-0.703807238
22320.036,1800.036,3.461246841,-0.704725124
35640.036,2880.036,3.464351391,-0.70352523
26640.036,2160.036,3.47011105,-0.704198558
13320.036,1080.036,3.470675812,-0.706880727
30960.036,2520.036,3.476482929,-0.703819452
35280.036,2880.036,3.481284084,-0.70353347
17640.036,1440.036,3.481709122,-0.705556764
21960.036,1800.036,3.488378743,-0.704754983
26280.036,2160.036,3.492846056,-0.704217342
30600.036,2520.036,3.4960473,-0.703831772
34920.036,2880.036,3.498453895,-0.703541749
34560.036,2880.036,3.515866463,-0.703550065
30240.036,2520.036,3.515927685,-0.703844199
25920.036,2160.036,3.516009286,-0.704236372
21600.036,1800.036,3.516123473,-0.704785404
17280.036,1440.036,3.516294635,-0.70560893
12960.036,1080.036,3.516579589,-0.706981415
8640.036,720.036,3.517148312,-0.709726162
4320.036,360.036,3.518845027,-0.717958665
34200.036,2880.036,3.533527621,-0.703558414
29880.036,2520.036,3.536132769,-0.703856728
25560.036,2160.036,3.539614486,-0.704255649
21240.036,1800.036,3.544504685,-0.704816396
33840.036,2880.036,3.551443399,-0.703566796
16920.036,1440.036,3.551874776,-0.705662493
29520.036,2520.036,3.556671573,-0.703869359
25200.036,2160.036,3.56367603,-0.704275174
12600.036,1080.036,3.564252041,-0.707086078
33480.036,2880.036,3.56962003,-0.703575205
20880.036,1800.036,3.573547333,-0.704847969
29160.036,2520.036,3.577553474,-0.703882087
33120.036,2880.036,3.588063968,-0.70358364
24840.036,2160.036,3.588208955,-0.704294945
16560.036,1440.036,3.588498624,-0.705717496
8280.036,720.036,3.589365191,-0.709984668
28800.036,2520.036,3.598788222,-0.703894911
20520.036,1800.036,3.603277762,-0.704880129
32760.036,2880.036,3.60678189,-0.703592096
24480.036,2160.036,3.613229,-0.704314962
12240.036,1080.036,3.613810896,-0.707194929
28440.036,2520.036,3.620385959,-0.703907827
32400.036,2880.036,3.625780707,-0.70360057
16200.036,1440.036,3.626218717,-0.705773983
20160.036,1800.036,3.633723807,-0.704912886
24120.036,2160.036,3.63875265,-0.704335222
28080.036,2520.036,3.642357238,-0.703920829
32040.036,2880.036,3.645067581,-0.703609057
35640.036,3240.036,3.66460082,-0.703371491
31680.036,2880.036,3.664649927,-0.703617553
27720.036,2520.036,3.664713048,-0.703933914
23760.036,2160.036,3.66479718,-0.704355724
19800.036,1800.036,3.664914906,-0.704946245
15840.036,1440.036,3.66509137,-0.705832
11880.036,1080.036,3.665385142,-0.70730819
7920.036,720.036,3.665971432,-0.710260313
3960.036,360.036,3.667720288,-0.719114656
35280.036,3240.036,3.682261437,-0.703376964
31320.036,2880.036,3.684535434,-0.703626052
27360.036,2520.036,3.687464837,-0.703947077
23400.036,2160.036,3.691380706,-0.704376462
19440.036,1800.036,3.696882222,-0.704980211
34920.036,3240.036,3.700167169,-0.703382401
30960.036,2880.036,3.704732072,-0.703634549
15480.036,1440.036,3.705177029,-0.70589159
27000.036,2520.036,3.710624532,-0.703960311
34560.036,3240.036,3.718323786,-0.703387797
23040.036,2160.036,3.718522239,-0.704397433
11520.036,1080.036,3.719116461,-0.707426097
30600.036,2880.036,3.725248106,-0.703643038
19080.036,1800.036,3.729658769,-0.70501479
26640.036,2520.036,3.734204572,-0.70397361
34200.036,3240.036,3.736737249,-0.703393147
30240.036,2880.036,3.746092115,-0.703651513
22680.036,2160.036,3.746241741,-0.704418631
15120.036,1440.036,3.746540669,-0.705952797
7560.036,720.036,3.747434875,-0.710554733
33840.036,3240.036,3.755413721,-0.703398444
26280.036,2520.036,3.75821793,-0.703986966
18720.036,1800.036,3.763279561,-0.705049982
29880.036,2880.036,3.767273,-0.703659967
33480.036,3240.036,3.774359572,-0.703403683
22320.036,2160.036,3.774560185,-0.70444005
11160.036,1080.036,3.775160868,-0.707548893
25920.036,2520.036,3.78267815,-0.704000371
29520.036,2880.036,3.788800005,-0.703668391
14760.036,1440.036,3.789252243,-0.706015661
33120.036,3240.036,3.793581391,-0.703408856
18360.036,1800.036,3.797781769,-0.705085789
21960.036,2160.036,3.803499629,-0.70446168
25560.036,2520.036,3.807599372,-0.704013816
29160.036,2880.036,3.810682734,-0.703676778
32760.036,3240.036,3.813085994,-0.703413958
32400.036,3240.036,3.832880436,-0.703418981
28800.036,2880.036,3.832931165,-0.703685118
25200.036,2520.036,3.832996371,-0.70402729
21600.036,2160.036,3.83308328,-0.704483511
18000.036,1800.036,3.833204892,-0.705122208
14400.036,1440.036,3.833387177,-0.706080222
10800.036,1080.036,3.833690632,-0.707676831
7200.036,720.036,3.834296219,-0.710869745
3600.036,360.036,3.836102413,-0.720446097
35640.036,3600.036,3.850908547,-0.703208765
32040.036,3240.036,3.852972019,-0.703423915
28440.036,2880.036,3.855555676,-0.703693401
24840.036,2520.036,3.858884593,-0.704040781
21240.036,2160.036,3.863335577,-0.704505533
35280.036,3600.036,3.869223432,-0.703211356
17640.036,1800.036,3.869590951,-0.705159235
31680.036,3240.036,3.873368305,-0.703428754
28080.036,2880.036,3.878567058,-0.703701618
14040.036,1440.036,3.879026935,-0.706146516
24480.036,2520.036,3.885280195,-0.704054278
34920.036,3600.036,3.887790181,-0.703213834
31320.036,3240.036,3.894077129,-0.703433487
20880.036,2160.036,3.894282276,-0.704527731
10440.036,1080.036,3.894896517,-0.707810171
27720.036,2880.036,3.901976541,-0.703709756
34560.036,3600.036,3.90661466,-0.70321619
17280.036,1800.036,3.906984697,-0.705196861
24120.036,2520.036,3.912200086,-0.704067765
30960.036,3240.036,3.91510661,-0.703438106
34200.036,3600.036,3.925702926,-0.703218418
27360.036,2880.036,3.925795816,-0.703717803
20520.036,2160.036,3.925950542,-0.704550088
13680.036,1440.036,3.926259654,-0.706214574
6840.036,720.036,3.927184275,-0.711207366
30600.036,3240.036,3.936465165,-0.703442598
23760.036,2520.036,3.939661973,-0.704081226
33840.036,3600.036,3.945061239,-0.703220508
16920.036,1800.036,3.945433844,-0.705235075
27000.036,2880.036,3.95003706,-0.703725745
30240.036,3240.036,3.958161523,-0.703446953
20160.036,2160.036,3.958369048,-0.704572586
10080.036,1080.036,3.958990408,-0.707949176
33480.036,3600.036,3.964696069,-0.703222451
23400.036,2520.036,3.967684412,-0.704094645
26640.036,2880.036,3.974712962,-0.703733567
13320.036,1440.036,3.975180859,-0.706284421
29880.036,3240.036,3.98020474,-0.70345116
33120.036,3600.036,3.984614103,-0.703224238
16560.036,1800.036,3.984989327,-0.70527386
19800.036,2160.036,3.991568088,-0.704595203
23040.036,2520.036,3.996286858,-0.704108002
26280.036,2880.036,3.99983675,-0.703741254
29520.036,3240.036,4.002604215,-0.703455204
32760.036,3600.036,4.004822257,-0.703225856
35640.036,3960.036,4.0252933,-0.703037661
32400.036,3600.036,4.025327687,-0.703227297
29160.036,3240.036,4.025369708,-0.703459072
25920.036,2880.036,4.025422223,-0.703748787
22680.036,2520.036,4.025489724,-0.704121274
19440.036,2160.036,4.025579691,-0.704617914
16200.036,1800.036,4.025705583,-0.705313193
12960.036,1440.036,4.02589428,-0.706356074
9720.036,1080.036,4.026208407,-0.708094112
6480.036,720.036,4.026835273,-0.711569824
3240.036,360.036,4.028704807,-0.721994104
35280.036,3960.036,4.044198678,-0.703037269
32040.036,3600.036,4.046137795,-0.703228547
28800.036,3240.036,4.048511356,-0.703462749
25560.036,2880.036,4.051483781,-0.703756149
22320.036,2520.036,4.05531444,-0.704134438
19080.036,2160.036,4.060437756,-0.704640689
34920.036,3960.036,4.063361601,-0.703036685
31680.036,3600.036,4.067260245,-0.703229594
15840.036,1800.036,4.067640866,-0.705353045
28440.036,3240.036,4.072039691,-0.703466219
25200.036,2880.036,4.078036459,-0.703763317
12600.036,1440.036,4.07851278,-0.70642954
34560.036,3960.036,4.082788004,-0.703035899
21960.036,2520.036,4.085783523,-0.704147467
31320.036,3600.036,4.088702974,-0.703230426
28080.036,3240.036,4.095965666,-0.703469465
18720.036,2160.036,4.096178189,-0.704663495
9360.036,1080.036,4.096814508,-0.708245235
34200.036,3960.036,4.102484011,-0.703034901
24840.036,2880.036,4.105095963,-0.703770271
30960.036,3600.036,4.110474202,-0.703231027
15480.036,1800.036,4.110857601,-0.705393381
21600.036,2520.036,4.116920643,-0.704160332
27720.036,3240.036,4.120300667,-0.703472469
33840.036,3960.036,4.122455952,-0.703033678
30600.036,3600.036,4.132582448,-0.703231382
24480.036,2880.036,4.132678714,-0.703776984
18360.036,2160.036,4.132839062,-0.704686294
12240.036,1440.036,4.133159407,-0.706504811
