alpha_1,alpha_2,Imag,Real
1080.036,11160.036,17.80038581,-6.758882533
1080.036,11520.036,17.82669441,-6.757455013
1080.036,11880.036,17.85149083,-6.756106575
1080.036,12240.036,17.87490182,-6.754830832
1080.036,12600.036,17.89704036,-6.753622064
1080.036,12960.036,17.91800746,-6.752475135
1080.036,13320.036,17.93789371,-6.751385423
1080.036,13680.036,17.9567806,-6.750348753
1080.036,14040.036,17.97474162,-6.749361347
1080.036,14400.036,17.99184324,-6.748419776
1080.036,14760.036,18.00814569,-6.747520925
1080.036,15120.036,18.02370374,-6.746661952
1080.036,15480.036,18.03856722,-6.745840261
1080.036,15840.036,18.05278164,-6.745053479
1080.036,16200.036,18.06638861,-6.744299429
1080.036,16560.036,18.07942625,-6.743576111
1080.036,16920.036,18.09192958,-6.742881683
1080.036,17280.036,18.10393077,-6.742214451
1080.036,17640.036,18.11545948,-6.741572848
1080.036,18000.036,18.12654308,-6.740955425
1080.036,18360.036,18.13720686,-6.740360842
1080.036,18720.036,18.14747423,-6.739787855
1080.036,19080.036,18.15736689,-6.739235308
1080.036,19440.036,18.16690499,-6.738702128
1080.036,19800.036,18.17610725,-6.738187314
1080.036,20160.036,18.18499111,-6.737689934
1080.036,20520.036,18.19357281,-6.737209116
1080.036,20880.036,18.20186751,-6.736744049
1080.036,21240.036,18.20988937,-6.736293969
1080.036,21600.036,18.21765163,-6.735858166
1080.036,21960.036,18.2251667,-6.735435969
1080.036,22320.036,18.2324462,-6.735026752
1080.036,22680.036,18.23950104,-6.734629926
1080.036,23040.036,18.24634146,-6.734244936
1080.036,23400.036,18.25297708,-6.733871261
1080.036,23760.036,18.25941697,-6.733508409
1080.036,24120.036,18.26566966,-6.733155917
1080.036,24480.036,18.27174321,-6.732813348
1080.036,24840.036,18.2776452,-6.732480287
1080.036,25200.036,18.28338279,-6.732156346
1080.036,25560.036,18.28896277,-6.731841155
1080.036,25920.036,18.29439153,-6.731534363
1080.036,26280.036,18.29967515,-6.73123564
1080.036,26640.036,18.30481937,-6.730944672
1080.036,27000.036,18.30982963,-6.73066116
1080.036,27360.036,18.3147111,-6.730384821
1080.036,27720.036,18.31946869,-6.730115387
1080.036,28080.036,18.32410704,-6.729852603
1080.036,28440.036,18.32863059,-6.729596225
1080.036,28800.036,18.33304354,-6.729346021
1080.036,29160.036,18.33734991,-6.729101772
1080.036,29520.036,18.3415535,-6.728863266
1080.036,29880.036,18.34565796,-6.728630306
1080.036,30240.036,18.34966675,-6.728402698
1080.036,30600.036,18.35358318,-6.72818026
1080.036,30960.036,18.3574104,-6.727962819
1080.036,31320.036,18.36115143,-6.727750208
1080.036,31680.036,18.36480914,-6.727542268
1080.036,32040.036,18.36838629,-6.727338847
1080.036,32400.036,18.37188551,-6.727139799
1080.036,32760.036,18.37530933,-6.726944983
1080.036,33120.036,18.37866014,-6.726754268
1080.036,33480.036,18.38194026,-6.726567525
1080.036,33840.036,18.38515191,-6.72638463
1080.036,34200.036,18.38829721,-6.726205467
1080.036,34560.036,18.39137819,-6.726029922
1080.036,34920.036,18.39439681,-6.725857887
1080.036,35280.036,18.39735494,-6.725689257
1080.036,35640.036,18.40025437,-6.725523933
1440.036,0.036,0,-0.285757132
1440.036,360.036,5.907821963,-7.097304563
1440.036,720.036,9.459818685,-7.045468435
1440.036,1080.036,11.32191935,-7.00462125
1440.036,1440.036,12.52905106,-6.972047419
1440.036,1800.036,13.38662125,-6.945643007
1440.036,2160.036,14.03068261,-6.923888934
1440.036,2520.036,14.53341112,-6.905697593
1440.036,2880.036,14.93727132,-6.890282601
1440.036,3240.036,15.26907595,-6.877066479
1440.036,3600.036,15.54666251,-6.865617963
1440.036,3960.036,15.78238931,-6.855609645
1440.036,4320.036,15.98510321,-6.846789093
1440.036,4680.036,16.16131082,-6.838958887
1440.036,5040.036,16.31590782,-6.831962604
1440.036,5400.036,16.45265035,-6.825674815
1440.036,5760.036,16.5744694,-6.819993843
1440.036,6120.036,16.6836862,-6.814836443
1440.036,6480.036,16.78216336,-6.810133833
1440.036,6840.036,16.87141302,-6.805828708
1440.036,7200.036,16.95267573,-6.801872952
1440.036,7560.036,17.0269789,-6.798225876
1440.036,7920.036,17.09518076,-6.794852848
1440.036,8280.036,17.15800385,-6.791724212
1440.036,8640.036,17.21606083,-6.788814422
1440.036,9000.036,17.26987466,-6.786101365
1440.036,9360.036,17.31989441,-6.783565799
1440.036,9720.036,17.3665079,-6.781190904
1440.036,10080.036,17.41005181,-6.778961917
1440.036,10440.036,17.45081983,-6.776865824
1440.036,10800.036,17.48906933,-6.77489111
1440.036,11160.036,17.52502678,-6.773027551
1440.036,11520.036,17.55889231,-6.771266038
1440.036,11880.036,17.59084336,-6.769598426
1440.036,12240.036,17.62103788,-6.768017417
1440.036,12600.036,17.64961688,-6.766516445
1440.036,12960.036,17.67670668,-6.765089593
1440.036,13320.036,17.70242075,-6.763731511
1440.036,13680.036,17.72686133,-6.762437351
1440.036,14040.036,17.75012075,-6.761202711
1440.036,14400.036,17.77228263,-6.760023582
1440.036,14760.036,17.79342289,-6.758896306
1440.036,15120.036,17.8136106,-6.757817542
1440.036,15480.036,17.83290872,-6.756784227
1440.036,15840.036,17.8513748,-6.755793552
1440.036,16200.036,17.86906152,-6.754842932
1440.036,16560.036,17.88601721,-6.75392999
1440.036,16920.036,17.90228629,-6.753052531
1440.036,17280.036,17.91790963,-6.752208528
1440.036,17640.036,17.93292494,-6.751396105
1440.036,18000.036,17.94736704,-6.750613523
1440.036,18360.036,17.96126814,-6.74985917
1440.036,18720.036,17.97465809,-6.749131545
1440.036,19080.036,17.98756458,-6.748429256
1440.036,19440.036,18.00001332,-6.747751001
1440.036,19800.036,18.01202824,-6.747095568
1440.036,20160.036,18.02363164,-6.746461827
1440.036,20520.036,18.03484431,-6.745848717
1440.036,20880.036,18.04568566,-6.745255249
1440.036,21240.036,18.05617382,-6.744680493
1440.036,21600.036,18.0663258,-6.74412358
1440.036,21960.036,18.07615749,-6.743583692
1440.036,22320.036,18.08568382,-6.743060059
1440.036,22680.036,18.0949188,-6.74255196
1440.036,23040.036,18.10387559,-6.742058713
1440.036,23400.036,18.11256659,-6.741579677
1440.036,23760.036,18.12100344,-6.741114247
1440.036,24120.036,18.12919713,-6.740661851
1440.036,24480.036,18.13715804,-6.74022195
1440.036,24840.036,18.14489594,-6.739794034
1440.036,25200.036,18.15242007,-6.739377619
1440.036,25560.036,18.15973917,-6.738972249
1440.036,25920.036,18.16686151,-6.738577489
1440.036,26280.036,18.17379492,-6.738192929
1440.036,26640.036,18.18054682,-6.737818178
1440.036,27000.036,18.18712425,-6.737452867
1440.036,27360.036,18.19353387,-6.737096643
1440.036,27720.036,18.19978204,-6.736749171
